Project Number,Project Name,WBS Element,WBS Name,,Activity,Customer Number,Customer Name,Cost Type,Cost Element Name,,,PS0,PS1/ V2,PS2,PS3,PS4/ V1,Actual,Commitment,POC%,5
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2,Execution WBS,E10,INSL2,2800664,NPCC/TECHNIP,"Recognized
Revenue",91000000,SETTLEMENT PS/PSG,AED,458282.378,1237362.4206,1947196.40875121,2712063.73180279,2317404.61183855,2291411.89,0,0,x
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2,Execution WBS,E10,INSL2,2800664,NPCC/TECHNIP,POC Adjustment,91000000,SETTLEMENT PS/PSG,AED,17489.608,47221.9416,74311.6111876036,103501.539263305,88440.0103170635,87448.04,0,0,x
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2,Execution WBS,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070950,Project Cost - Other,AED,11.744,31.7088,49.8990921802,69.4996752991,59.3860926536,58.72,0,0,x
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2,Execution WBS,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070951,Project Cost - Bank,AED,52222.436,141000.5772,221887.95536764,309046.521230176,264074.116390841,261112.18,0,0,x
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-01,MV Scope,E10,INSL2,2800664,NPCC/TECHNIP,"Total Invoicing
/ Planned Revenue",42000200,Sales Projects-OG-AB,AED,314382.94,1498141.768,2374908.46979748,3245651.38501721,2807139.35181879,2870530.36,0,0,1
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-01,MV Scope,E10,INSL2,2800664,NPCC/TECHNIP,POC Adjustment,91000001,SETTLEMENT NWK/WBS,AED,317383.94,84245.968,111949.389509189,229861.566504384,156195.723227314,41538.36,0,0,1
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-01,MV Scope,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50020100,Consumption Trdg-IG,AED,302748.08,60549.616,75081.52384,176997.996602689,111848.264229331,0,13481677.07,0,1
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-01,MV Scope,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50020200,Consumption Trdg-OG,AED,602749.08,120549.816,149481.77184,352389.946169482,222681.63802666,0,292983.38,0,1
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-01,MV Scope,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,ML-02,MV/LV-PM & TL,AED,352750.08,91319.196,120720.192229189,250537.951727274,169261.508389326,41538.36,0,0,1
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-02,LV Scope,E10,INSL2,2800664,NPCC/TECHNIP,"Total Invoicing
/ Planned Revenue",42000200,Sales Projects-OG-AB,AED,442091.38,2106690.766,3339601.9516418,4564044.07145535,3947406.46965172,4036544.98,0,0,2
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-02,LV Scope,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50020100,Consumption Trdg-IG,AED,425790.08,85158.016,105595.93984,248933.011014633,157305.312635073,0,19560070.69,0,2
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-03,OG Scope,E10,INSL2,2800664,NPCC/TECHNIP,"Total Invoicing
/ Planned Revenue",42000200,Sales Projects-OG-AB,AED,208246.88,360774.716,562360.770362523,802539.102906623,675266.632882568,638250.68,0,0,3
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-03,OG Scope,E10,INSL2,2800664,NPCC/TECHNIP,POC Adjustment,91000001,SETTLEMENT NWK/WBS,AED,208457.88,175019.076,265069.600185946,406299.929427957,326990.40547799,266655,0,0,3
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-03,OG Scope,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50020200,Consumption Trdg-OG,0,206797.98,174687.096,264657.944985946,405329.489005805,326377.166464899,266655,2781872.44,3.96,3
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-03,OG Scope,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,ML-02,MV/LV-PM & TL,AED,306798.98,63647.926,79747.9795913514,184247.573932324,117634.879511298,4576.26,0,0,3
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-04,Automation,E10,INSL2,2800664,NPCC/TECHNIP,"Total Invoicing
/ Planned Revenue",42000200,Sales Projects-OG-AB,AED,2895709.2,1907938.12,2844688.77510631,4527662.40087467,3561173.58954378,2657592.56,0,0,4
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-04,Automation,E10,INSL2,2800664,NPCC/TECHNIP,POC Adjustment,91000001,SETTLEMENT NWK/WBS,AED,2897710.2,788472.605,1052996.32389369,2139822.73146925,1462265.70875144,417861.13,0,0,4
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-04,Automation,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50020100,Consumption Trdg-IG,AED,242554.36,48510.872,60153.48128,141806.467566194,89610.0947931903,0,0,0,4
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-04,Automation,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50020200,Consumption Trdg-OG,0,244755.36,1499245.297,2381692.71782955,3237005.92573939,2809594.00841971,2900588.45,8870583.63,11,4
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-04,Automation,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070800,Misc DVC Expenses,AED,252556.36,50529.272,62662.7837664865,147692.415072924,93339.0155336782,36,0,0,4
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-04,Automation,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070953,Travel Cost - Visa D,AED,255557.36,51849.472,64559.2912259459,150982.889360096,95797.6500336139,1476,0,0,4
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-04,Automation,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50070954,Travel Cost - AirTic,AED,247558.36,51001.672,63779.0102169369,147910.612533208,94252.404818928,2980,0,0,4
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-04,Automation,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,50080000,DVC - Proj SubCon. E,AED,128921,25784.2,31972.408,75372.1005266667,47629.005847732,0,0,0,4
AE10OG0014,UMM AL LULU FULL FIELD DEVELOPMENT PCK 2,AE10OG0014-2-04,Automation,E10,INSL2,2800664,NPCC/TECHNIP,Execution Cost,EA-01,Energy Auto Senior P,AED,858891.8,171778.36,213005.1664,502140.683760828,317311.862029995,0,0,0,4
